2020/11/09 11:26:06 [error] 7#7: *56 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.19.0.1, server: localhost, request: "GET /variable/humans.php?name=Alexandre HTTP/1.1", upstream: "fastcgi://172.19.0.4:9000", host: "localhost:2018"
2020/11/10 13:12:22 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /test/index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2018", referrer: "http://localhost:2018/"
2020/11/10 13:22:27 [error] 7#7: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2018"
2020/11/10 13:22:27 [error] 7#7: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2018", referrer: "http://localhost:2018/"
2020/11/10 13:22:30 [error] 7#7: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2018"
2020/11/10 14:05:05 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020"
2020/11/10 14:05:06 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/"
2020/11/10 14:56:39 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:40 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:40 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:40 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:41 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:41 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 14:56:42 [error] 7#7: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /php/css/style.css HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/php/excuse.php?name=abdel&teacher=Mamadou&gender=boy&excuse=activity&submit=Submit"
2020/11/10 15:37:10 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /assets/css/style.css HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/index.html"
2020/11/10 15:40:50 [error] 7#7: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /assets/css/style.css HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/index.html"
2020/11/10 15:40:51 [error] 7#7: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /assets/css/style.css HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/index.html"
2020/11/10 16:32:18 [error] 7#7: *58 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /assets/data/task.json HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/index.html"
2020/11/10 16:37:03 [error] 7#7: *62 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /data/task.json HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2020", referrer: "http://localhost:2020/index.html"
2020/11/12 10:41:19 [error] 7#7: *272 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /php/onChange.php?box=abc&disable=true HTTP/1.1", upstream: "fastcgi://172.22.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/"
2020/12/01 11:10:14 [error] 8#8: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /ternary.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2021"
2020/12/03 13:07:39 [error] 9#9: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:08:28 [error] 9#9: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:37:34 [error] 9#9: *6 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/create.php"
2020/12/03 13:37:40 [error] 9#9: *6 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:39:25 [error] 9#9: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:48:51 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:48:53 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:49:23 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:49:45 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:49:47 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:49:58 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:50:43 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:51:02 [error] 9#9: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:52:55 [error] 9#9: *30 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:53:00 [error] 9#9: *30 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id2 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 13:53:00 [error] 9#9: *30 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/upadate.php?id2"
